id,order_id,name,is_veg
1,127143465064,Paratha Kuruma,1
2,127143465064,Gobi Manchurian Dry,1
3,127077028490,Amritsari Paneer Tikka Lasagne,1
4,126888939416,Eggless Red Velvet Jar,1
5,125668909627,SEV PURI,1
6,125668909627,MASALA PURI,1
7,125301846779,Sepangkizhangu Fries,1
8,124552896092,Masala Kulcha,1
9,124552896092,Onion Aloo Mixed Paratha,1
10,124552896092,Mixed Vegetable Raita,1
11,121958902961,Penne Arrabiata Pasta La Vista,1
12,121958902961,Pind Di Daal Makhani with Jeera Rice,1
13,120313745539,Alfredo,1
14,119284782350,North Indian Value Combo Meals,1
15,118674754387,Veg Zinger,1
16,118594611361,Burnt Garlic Noodles + Chilli Corn (Serves 1),1
17,118594611361,Chicken Fried Rice + Bbq Shredded Chicken Sauce,0
18,118594611361,Burnt Garlic Chicken Rice + Chilly Shredded Chicken (Serves 1),0
19,118594611361,Butter Chicken,0
20,118594611361,Naan,1
21,118507574782,Seven Taste Uttapam,1
22,118507574782,Masala Kulcha,1
23,118507574782,Phulka,1
24,118507574782,Kadai Paneer,1
25,118507574782,Ghee Paneer Masal Dosa,1
26,118507574782,Sambar Idli,1
27,118166623765,Pomegranate Juices,1
28,118166623765,Mango Mastani,1
29,117182948400,"Paneer Tikka Sub ( 15 cm, 6 Inch )",1
30,117182948400,"Corn & Peas Sub ( 15 cm, 6 Inch )",1
31,116840199924,Classic Mac & Cheese,1
32,116840199924,Awadhi Paneer with Matar Pulao,1
33,116840199924,Sprite Can (300 ml),1
34,116840199924,Nawabi Paneer Lababdar Parotta Bowl,1
35,116840199924,Triple Ripple Death by Chocolate,1
36,116840199924,Paneer 65 with Chilli Garlic Fried Rice,1
37,116754798052,Baked Veggie Pizza Wrap,1
38,116754798052,Jumbo Paneer Chole Wrap,1
39,116754798052,Rajma Masala Rice Bowl (Mini),1
40,116754798052,Paneer Signature Rice Bowl (Mini),1
41,116754798052,Hazelnut Brownie,1
42,116690334483,American Cheese Supreme - Veg,1
43,116690334483,Mcflurry Oreo Small,1
44,116690334483,Snack box,0
45,116690334483,McSpicy Paneer Burger,1
46,116690334483,Fries (R),1
47,116690334483,New Chocolate Chip Muffin,1
48,116666857091,Palak Paneer Jumbo Lunchbox,1
49,116666857091,Palak Paneer Bread Kulcha Lunchbox,1
50,116666857091,Red Velvet Lava Cake,1
51,116666857091,Aloo Paratha With Dal Makhani,1
52,114172231893,Brownie,1
53,111509575197,Baby Corn Manchurian,1
54,111332232888,Aloo Sakh with Poori (3 Nos),1
55,111332232888,Side Dish with Phulka Chapati (2 Nos),1
56,110902105248,Gobi 65,1
57,109947448158,Cheese Corn Nuggets,1
58,109947448158,Veg Nuggets,1
59,109947448158,Butter Masala Corn Sandwich,1
60,109519514675,Super Saver Paneer Rice Bowl Meal,1
61,109519514675,Hazelnut Brownie,1
62,107186347292,Triple Chocolate Waffle,1
63,107010105863,Brownie Hotfudge Ice Cream Jar,1
64,104678065783,BBQ Cottage Sauce Pizza,1
65,104678065783,Corn & Cheddar Quesadilla,1
66,104678065783,Garlic Bread With Cheese,1
67,104593523219,Eggless Red Velvet Jar,1
68,103989560561,Oreo Brownie,2
69,103989560561,Trio of Chocolate Jar,1
70,103899258502,Gobi Manchurian,1
71,103899258502,Cashew Pulao,1
72,103899258502,Paneer Pulao,1
73,103899258502,Phulka,1
74,102089628375,Paneer 65 with Chilli Garlic Fried Rice,1
75,102089628375,Classic Mac & Cheese,1
76,101569710926,Butter Naan + Paneer Butter Masala + RoseMilk,1
77,101569710926,Gobi 65 Dry,1
78,96303387993,Triple Chocolate Waffle,1
79,93259245959,Nawabi Paneer Lababdar with Matar Pulao,1
80,90174208184,Double Chocolate Mousse,1
81,88437200793,Everyday Value 2 Reg Classic Paneer Combo,1
82,88437200793,Cheesy Jalapeno Dip,1
83,86796819721,Chicken Schezwan Fried Rice,0
84,86796243798,Paneer & Onion,1
85,86796243798,Chicken Parcel,0
86,86796243798,Chicken Sausage,0
87,85503629718,Capsicum,1
88,85503629718,Golden Corn,1
89,85503629718,Farmhouse,1
90,85413036372,Nawabi Paneer Lababdar with Matar Pulao,1
91,85413036372,Triple Ripple Death by Chocolate,1
92,85413036372,Desi Dal Tadka with Jeera Rice,1
93,83594429748,Awadhi Paneer with Matar Pulao,1
94,66209518020,Paneer Butter Masala with Mattar Pulao,1
95,65256281802,Mutter Paneer & Paratha Lunchbox,1
96,65030558417,Strawberry (Baby),1
97,65030558417,Hazelnut (Baby),1
