id,order_id,order_total,restaurant_name,order_time,rain_mode,on_time
65,46709238766,559.0,Shyam's Bombay Halwa House,2019-07-20 20:17:18,0,0
66,45580335390,109.0,The Belgian Waffle Co,2019-07-07 18:42:15,0,0
67,45329093270,277.0,Sree gupta bhavan,2019-07-04 20:54:54,0,1
68,45046337544,471.0,Sangeetha's Desi Mane,2019-07-01 14:22:18,0,1
69,44294169925,107.0,Oh so Stoned,2019-06-22 21:26:10,0,1
70,44281184062,97.0,Food Track,2019-06-22 17:49:45,0,1
71,43878488152,455.0,Cream and Fudge,2019-06-18 01:58:09,0,1
72,43875533945,651.0,Moonlight Takeaway & Delivery,2019-06-18 01:08:53,0,1
73,41434653260,192.0,Pizza Hut,2019-05-20 19:07:34,0,1
74,40720888087,191.0,Desi Rasoi's Punjabi Dhaba,2019-05-12 12:51:28,0,0
75,38930061426,277.0,Taco Bell,2019-04-21 19:24:22,0,1
76,37720646109,164.0,Taco Bell,2019-04-07 19:27:26,0,0
77,29854675649,278.0,Food Track,2019-01-06 18:27:55,0,1
78,27788088847,225.0,Food Track,2018-12-13 20:24:49,0,0
79,26146797097,409.0,Mansukh's Sweets and Snacks,2018-11-24 20:29:58,0,1
80,22941287885,121.0,A2B Veg,2018-10-18 18:04:48,0,1
81,22512634359,146.0,Mansukh's Sweets and Snacks,2018-10-13 19:00:35,0,1
82,22512535762,415.0,A2B Veg,2018-10-13 18:58:56,0,1
83,21823031245,154.0,A2B Veg,2018-10-05 19:27:11,0,1
84,20698577867,315.0,Food Track,2018-09-22 19:06:18,0,1
85,19986548494,188.0,The Thickshake Factory,2018-09-14 13:19:09,0,0
86,19578602443,272.0,McDonald's,2018-09-09 20:00:03,0,0
87,19405811984,152.0,Mansukh's Sweets and Snacks,2018-09-07 20:00:12,0,0
88,1181693164,147.0,Tibbs Frankie,2018-05-16 19:07:46,0,1
89,1177912478,203.0,Maggevala Curly Cravings,2018-05-09 20:02:39,0,1
90,1172808867,184.0,Ibaco,2018-04-29 21:06:22,0,1
91,1161151700,313.0,Domino's Pizza,2018-04-06 19:05:59,0,0
92,1129725726,192.0,The Thick Shake Factory,2018-01-07 17:12:33,0,1
93,1123341565,125.0,Food Centralis,2017-12-10 20:51:31,0,1
94,1123287736,209.0,Rice n Spice,2017-12-10 19:24:06,0,0
95,1096353194,140.0,The Sandwich Shop,2017-07-02 19:09:02,0,0
